brand,device,url,image_url
Bird,S698,https://www.gsmarena.com/bird_s698-1366.php,https://fdn2.gsmarena.com/vv/bigpic/bird-s698.gif
Bird,S198,https://www.gsmarena.com/bird_s198-1365.php,https://fdn2.gsmarena.com/vv/bigpic/bird-s198.gif
Bird,S299,https://www.gsmarena.com/bird_s299-1364.php,https://fdn2.gsmarena.com/vv/bigpic/bird-s299.gif
Bird,MP300,https://www.gsmarena.com/bird_mp300-1282.php,https://fdn2.gsmarena.com/vv/bigpic/bird-w1.gif
Bird,M19,https://www.gsmarena.com/bird_m19-1283.php,https://fdn2.gsmarena.com/vv/bigpic/bird-m12.gif
Bird,V109,https://www.gsmarena.com/bird_v109-1284.php,https://fdn2.gsmarena.com/vv/bigpic/bird-v109.gif
Bird,S799,https://www.gsmarena.com/bird_s799-1286.php,https://fdn2.gsmarena.com/vv/bigpic/bird-s799.gif
Bird,S699,https://www.gsmarena.com/bird_s699-1285.php,https://fdn2.gsmarena.com/vv/bigpic/bird-s699.gif
Bird,V79,https://www.gsmarena.com/bird_v79-1281.php,https://fdn2.gsmarena.com/vv/bigpic/bird-v79.gif
Bird,S1186,https://www.gsmarena.com/bird_s1186-1280.php,https://fdn2.gsmarena.com/vv/bigpic/bird-s1186.gif
Bird,S199,https://www.gsmarena.com/bird_s199-1231.php,https://fdn2.gsmarena.com/vv/bigpic/bird-s199.gif
Bird,S789,https://www.gsmarena.com/bird_s789-1157.php,https://fdn2.gsmarena.com/vv/bigpic/bird-s789.gif
Bird,V5510,https://www.gsmarena.com/bird_v5510-1210.php,https://fdn2.gsmarena.com/vv/bigpic/bird-v5510.gif
Bird,DV10,https://www.gsmarena.com/bird_dv10-1145.php,https://fdn2.gsmarena.com/vv/bigpic/bird-dv10.gif
Bird,S590,https://www.gsmarena.com/bird_s590-1006.php,https://fdn2.gsmarena.com/vv/bigpic/bis590.gif
Bird,S580,https://www.gsmarena.com/bird_s580-1093.php,https://fdn2.gsmarena.com/vv/bigpic/bird-s580.gif
Bird,A150,https://www.gsmarena.com/bird_a150-954.php,https://fdn2.gsmarena.com/vv/bigpic/bia150.gif
Bird,A130,https://www.gsmarena.com/bird_a130-984.php,https://fdn2.gsmarena.com/vv/bigpic/bia130.gif
Bird,A120,https://www.gsmarena.com/bird_a120-985.php,https://fdn2.gsmarena.com/vv/bigpic/bia120.gif
Bird,V09,https://www.gsmarena.com/bird_v09-990.php,https://fdn2.gsmarena.com/vv/bigpic/biv09.gif
Bird,S570,https://www.gsmarena.com/bird_s570-953.php,https://fdn2.gsmarena.com/vv/bigpic/bis570.gif
Bird,SC24,https://www.gsmarena.com/bird_sc24-952.php,https://fdn2.gsmarena.com/vv/bigpic/bisc24.gif
Bird,G118,https://www.gsmarena.com/bird_g118-956.php,https://fdn2.gsmarena.com/vv/bigpic/big118.gif
Bird,S1190,https://www.gsmarena.com/bird_s1190-987.php,https://fdn2.gsmarena.com/vv/bigpic/bis1190.gif
Bird,S1180c,https://www.gsmarena.com/bird_s1180c-951.php,https://fdn2.gsmarena.com/vv/bigpic/bi1180c.gif
Bird,S1160 Plus,https://www.gsmarena.com/bird_s1160_plus-986.php,https://fdn2.gsmarena.com/vv/bigpic/bis1160p.gif
Bird,S1160,https://www.gsmarena.com/bird_s1160-950.php,https://fdn2.gsmarena.com/vv/bigpic/bi1160.gif
Bird,S788,https://www.gsmarena.com/bird_s788-988.php,https://fdn2.gsmarena.com/vv/bigpic/bis788.gif
Bird,S288 Plus,https://www.gsmarena.com/bird_s288_plus-989.php,https://fdn2.gsmarena.com/vv/bigpic/bis288s.gif
Bird,S288,https://www.gsmarena.com/bird_s288-949.php,https://fdn2.gsmarena.com/vv/bigpic/bis288.gif
Amazon,Fire Max 11,https://www.gsmarena.com/amazon_fire_max_11-12382.php,https://fdn2.gsmarena.com/vv/bigpic/amazon-fire-max-11.jpg
